name	x	y	level	cluster	boundary
238	-21.490696	61.01907	7	2	false
363	-22.574907	46.416016	7	2	false
78	90.67806	7.7371655	7	0	false
130	-36.48094	22.116688	7	2	false
96	91.978455	24.788586	7	0	false
85	-2.5212333	-94.800934	7	0	false
220	-33.09445	-39.73662	7	0	false
159	-43.215885	-74.172066	7	0	false
337	-36.710987	-88.94668	7	0	true
235	-23.144293	-59.807747	7	0	false
303	94.12375	46.76632	7	0	false
77	-84.681114	-2.5719469	7	4	false
141	91.455444	90.03254	7	0	false
163	-39.06208	-88.755196	7	0	false
329	-12.104162	44.80587	8	2	false
271	-20.424307	-53.070988	8	0	false
125	-54.654663	23.390314	8	3	false
311	-22.542793	21.16125	8	2	false
391	-15.731719	-62.939144	8	0	false
144	0.8713757	80.81736	8	1	false
167	82.69885	-20.630497	8	0	true
334	56.193996	-19.303833	8	0	false
80	6.912242	-45.466125	8	0	false
196	91.47875	0.4096101	8	0	false
197	81.51474	54.979134	8	0	false
103	-23.025482	35.715855	8	2	false
73	-12.598159	-69.24585	8	0	false
52	-24.222391	9.719806	8	0	false
357	23.00256	95.73926	8	1	false
120	13.2571745	92.00781	8	1	false
224	78.555885	19.194466	8	0	false
95	-39.841316	-8.357719	8	3	false
149	46.423367	-37.74928	8	0	false
92	87.87592	-25.290379	8	0	false
360	65.69111	52.106266	8	0	false
123	-37.190975	-33.469467	8	0	false
152	8.833414	-39.90182	8	0	false
22	25.217255	83.63498	8	1	false
105	19.376621	-24.041262	8	0	false
182	38.2797	-34.477516	8	0	true
115	-24.255932	-68.4996	8	0	false
392	-8.758761	-27.964233	8	0	true
265	3.0969424	-57.376244	8	0	false
367	4.687431	51.16168	8	1	false
256	70.62589	3.2484756	8	0	false
292	12.984178	88.250175	8	1	true
200	43.177895	-45.15417	8	0	false
356	48.63405	65.53937	8	1	false
50	-1.6437685	-64.97318	8	0	false
259	-26.65571	25.969501	8	2	false
358	54.803562	54.252644	8	0	false
106	74.93366	73.37095	8	0	false
175	83.58507	49.304535	8	0	false
293	-17.796274	38.30167	8	2	false
322	-37.163074	-21.883413	8	3	false
262	-34.78397	7.104735	8	3	true
231	-11.788317	42.097073	9	2	false
67	62.083786	28.997257	9	0	true
204	37.876446	-17.294369	9	0	false
260	26.404957	58.823223	9	1	true
94	9.515992	-21.8229	9	0	false
60	41.711216	5.5520563	9	0	false
244	43.061264	47.71488	9	1	false
381	64.751205	-1.9802114	9	0	false
133	22.65823	-10.851127	9	0	true
300	44.701912	61.117542	9	1	false
250	34.83157	-23.56935	9	0	false
324	5.703994	-24.938269	9	0	false
348	5.9446187	-38.117645	9	0	false
132	16.040396	52.70391	9	1	false
309	68.973816	45.471565	9	0	false
185	18.180613	47.403915	9	0	false
299	-0.6204785	-2.574985	9	0	false
112	9.864635	34.04728	9	2	false
253	6.7540674	-35.601055	9	0	false
57	20.249458	81.87633	9	1	false
91	53.387302	15.246114	9	0	false
180	67.105835	2.9040987	9	0	false
368	-13.197192	35.941105	9	2	false
100	-35.461117	-7.572791	9	3	false
272	72.64097	-7.5048933	9	0	false
227	-7.237535	-49.68604	9	0	false
316	-35.86196	-16.253828	9	3	false
168	-8.664387	23.273148	9	2	false
241	-9.509562	17.9094	9	2	false
203	22.913563	48.280865	10	1	false
280	1.490326	27.45465	10	2	false
170	31.683907	23.357925	10	0	true
153	31.317377	55.564278	10	1	true
339	36.816795	4.2777557	10	0	false
361	18.983212	37.91041	10	0	false
191	6.375978	-6.587656	10	0	false
302	37.28058	37.71617	10	0	true
212	7.4739428	17.675772	10	0	true
351	45.38858	8.3083515	10	0	false
289	20.396702	38.41319	10	0	false
233	9.038637	-0.5565185	10	0	true
210	15.543707	9.506285	10	0	false
270	26.666826	54.307682	10	1	true
61	18.255182	11.634192	10	0	true
124	20.77585	34.501305	10	0	false
